IIM ID,Novogene ID,Species,Individual,Swabbing,Tissue,Extraction date,Kit,[ng/µL] Nanodrop,Ratio 260/280,Ratio 260/230,[ng/µL] Qubit,Sequencing,Qubit_raw,Qubit_status,Qubit_ng_uL,Qubit_ng_uL_zero,pass_260_280_17_20,pass_260_280_15_20,pass_260_230_15,pass_260_230_175,sequencing_selected,Nanodrop_analysis,nanodrop_nonpositive_flag,ratio_260_280_invalid_flag,ratio_260_230_invalid_flag,qubit_detected_flag,qubit_measured_flag
P1M1,O1,Octopus,1,1,Skin,2025-11-10,MasterPure,30.6,1.65,0.56,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,30.6,FALSE,FALSE,FALSE,FALSE,FALSE
P1M3,O3,Octopus,1,3,Skin,2025-11-18,PowerFecal,0.51,1.982,0.19,Out of range,N,Out of range,Out of range,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.51,FALSE,FALSE,FALSE,TRUE,FALSE
P1M4,O4,Octopus,1,4,Skin,2025-11-26,PowerSoil,18.8,1.54,0.15,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,18.8,FALSE,FALSE,FALSE,FALSE,FALSE
P1M2,O2,Octopus,1,2,Skin,2025-11-28,PureLink,5.6,1.7,0.48,NA,N,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,5.6,FALSE,FALSE,FALSE,FALSE,FALSE
P2M1,O5,Octopus,2,1,Skin,2025-11-12,MasterPure,31.999,1.693,0.77,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,31.999,FALSE,FALSE,FALSE,FALSE,FALSE
P2M3,O7,Octopus,2,3,Skin,2025-11-18,PowerFecal,-3.538,2.938,-0.06,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE
P2M4,O8,Octopus,2,4,Skin,2025-11-26,PowerSoil,0.5,4.81,0,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
P2M2,O6,Octopus,2,2,Skin,2025-11-28,PureLink,6,1.69,0.51,NA,N,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE
P3M1,O9,Octopus,3,1,Skin,2025-11-12,MasterPure,15.713,1.785,0.644,1.74,Y,1.74,Measured,1.74,1.74,TRUE,TRUE,FALSE,FALSE,TRUE,15.713,FALSE,FALSE,FALSE,TRUE,TRUE
P3M3,O11,Octopus,3,3,Skin,2025-11-18,PowerFecal,10.391,1.54,0.299,Out of range,Y,Out of range,Out of range,NA,0,FALSE,TRUE,FALSE,FALSE,TRUE,10.391,FALSE,FALSE,FALSE,TRUE,FALSE
P3M4,O12,Octopus,3,4,Skin,2025-11-26,PowerSoil,2.5,1.33,0.02,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,2.5,FALSE,FALSE,FALSE,TRUE,FALSE
P3M2,O10,Octopus,3,2,Skin,2025-12-01,PureLink,1.5,0.63,0.15,0.21,N,0.21,Measured,0.21,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,1.5,FALSE,FALSE,FALSE,TRUE,TRUE
P4M1,O13,Octopus,4,1,Skin,2025-11-12,MasterPure,15.39,1.847,0.689,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,15.39,FALSE,FALSE,FALSE,FALSE,FALSE
P4M3,O15,Octopus,4,3,Skin,2025-11-18,PowerFecal,3.094,1.3,0.045,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,3.094,FALSE,FALSE,FALSE,TRUE,FALSE
P4M4,O16,Octopus,4,4,Skin,2025-11-26,PowerSoil,27.4,1.54,0.24,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,27.4,FALSE,FALSE,FALSE,FALSE,FALSE
P4M2,O14,Octopus,4,2,Skin,2025-12-01,PureLink,1,0.57,0.12,0.746,N,0.746,Measured,0.746,0.746,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE
P5M1,O17,Octopus,5,1,Skin,2025-11-12,MasterPure,29.214,1.83,0.93,30.2,Y,30.2,Measured,30.2,30.2,TRUE,TRUE,FALSE,FALSE,TRUE,29.214,FALSE,FALSE,FALSE,TRUE,TRUE
P5M3,O19,Octopus,5,3,Skin,2025-11-19,PowerFecal,3.3,1.23,0.01,0.42899999999999999,N,0.42899999999999999,Measured,0.429,0.429,FALSE,FALSE,FALSE,FALSE,FALSE,3.3,FALSE,FALSE,FALSE,TRUE,TRUE
P5M4,O20,Octopus,5,4,Skin,2025-11-26,PowerSoil,10.4,1.41,0.4,6.8000000000000005E-2,Y,6.8000000000000005E-2,Measured,0.068,0.068,FALSE,FALSE,FALSE,FALSE,TRUE,10.4,FALSE,FALSE,FALSE,TRUE,TRUE
P5M2,O18,Octopus,5,2,Skin,2025-12-01,PureLink,5.6,0.96,0.21,0.78,N,0.78,Measured,0.78,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,5.6,FALSE,FALSE,FALSE,TRUE,TRUE
P1I1,O21,Octopus,1,1,Mantle,2025-11-10,MasterPure,170.1,1.83,1.4,43.9,Y,43.9,Measured,43.9,43.9,TRUE,TRUE,FALSE,FALSE,TRUE,170.1,FALSE,FALSE,FALSE,TRUE,TRUE
P1I3,O23,Octopus,1,3,Mantle,2025-11-19,PowerFecal,140.4,1.79,0.23,42.7,Y,42.7,Measured,42.7,42.7,TRUE,TRUE,FALSE,FALSE,TRUE,140.4,FALSE,FALSE,FALSE,TRUE,TRUE
P1I4,O24,Octopus,1,4,Mantle,2025-11-25,PowerSoil,121.4,1.89,0.27,45.4,Y,45.4,Measured,45.4,45.4,TRUE,TRUE,FALSE,FALSE,TRUE,121.4,FALSE,FALSE,FALSE,TRUE,TRUE
P1I2,O22,Octopus,1,2,Mantle,2025-11-28,PureLink,7.4,1.78,0.58,0.78,N,0.78,Measured,0.78,0.78,TRUE,TRUE,FALSE,FALSE,FALSE,7.4,FALSE,FALSE,FALSE,TRUE,TRUE
P2I1,O25,Octopus,2,1,Mantle,2025-11-12,MasterPure,169.98,1.87,1.62,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,169.98,FALSE,FALSE,FALSE,FALSE,FALSE
P2I3,O27,Octopus,2,3,Mantle,2025-11-19,PowerFecal,199,1.68,0.25,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,199,FALSE,FALSE,FALSE,FALSE,FALSE
P2I4,O28,Octopus,2,4,Mantle,2025-11-25,PowerSoil,20.1,1.89,0.27,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,20.1,FALSE,FALSE,FALSE,FALSE,FALSE
P2I2,O26,Octopus,2,2,Mantle,2025-11-28,PureLink,7.8,1.66,0.58,NA,N,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,7.8,FALSE,FALSE,FALSE,FALSE,FALSE
P3I1,O29,Octopus,3,1,Mantle,2025-11-12,MasterPure,152.6,1.89,1.52,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,152.6,FALSE,FALSE,FALSE,FALSE,FALSE
P3I3,O31,Octopus,3,3,Mantle,2025-11-19,PowerFecal,28.4,1.71,0.06,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,28.4,FALSE,FALSE,FALSE,FALSE,FALSE
P3I4,O32,Octopus,3,4,Mantle,2026-11-26,PowerSoil,28.4,1.51,0.2,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,28.4,FALSE,FALSE,FALSE,FALSE,FALSE
P3I2,O30,Octopus,3,2,Mantle,2025-12-01,PureLink,1.7,0.75,0.35,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1.7,FALSE,FALSE,FALSE,FALSE,FALSE
P4I1,O33,Octopus,4,1,Mantle,2025-11-12,MasterPure,71.49,1.81,1.16,29.8,Y,29.8,Measured,29.8,29.8,TRUE,TRUE,FALSE,FALSE,TRUE,71.49,FALSE,FALSE,FALSE,TRUE,TRUE
P4I3,O35,Octopus,4,3,Mantle,2025-11-20,PowerFecal,168.6,1.54,0.41,4.8099999999999996,Y,4.8099999999999996,Measured,4.81,4.81,FALSE,TRUE,FALSE,FALSE,TRUE,168.6,FALSE,FALSE,FALSE,TRUE,TRUE
P4I4,O36,Octopus,4,4,Mantle,2025-11-26,PowerSoil,27.1,1.58,0.61,3.95,Y,3.95,Measured,3.95,3.95,FALSE,TRUE,FALSE,FALSE,TRUE,27.1,FALSE,FALSE,FALSE,TRUE,TRUE
P4I2,O34,Octopus,4,2,Mantle,2025-12-01,PureLink,5.6,1.59,0.95,NA,N,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,5.6,FALSE,FALSE,FALSE,FALSE,FALSE
P5I1,O37,Octopus,5,1,Mantle,2025-11-12,MasterPure,431.1,1.67,1,10,Y,10,Measured,10,10,FALSE,TRUE,FALSE,FALSE,TRUE,431.1,FALSE,FALSE,FALSE,TRUE,TRUE
P5I3,O39,Octopus,5,3,Mantle,2025-11-20,PowerFecal,55.7,1.58,0.23,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,55.7,FALSE,FALSE,FALSE,FALSE,FALSE
P5I4,O40,Octopus,5,4,Mantle,2025-11-26,PowerSoil,21,1.61,0.23,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,21,FALSE,FALSE,FALSE,FALSE,FALSE
P5I2,O38,Octopus,5,2,Mantle,2025-12-01,PureLink,1.6,0.81,0.2,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1.6,FALSE,FALSE,FALSE,FALSE,FALSE
R1M1,T1,Turbot,1,1,Skin,2025-11-10,MasterPure,31.9,1.81,0.72,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,31.9,FALSE,FALSE,FALSE,FALSE,FALSE
R1M3,T3,Turbot,1,3,Skin,2025-11-20,PowerFecal,18.7,1.59,0.1,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,18.7,FALSE,FALSE,FALSE,FALSE,FALSE
R1M4,T4,Turbot,1,4,Skin,2025-11-24,PowerSoil,6,1.93,0.01,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE
R1M2,T2,Turbot,1,2,Skin,2025-12-01,PureLink,0.3,0.77,-0.18,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,FALSE,FALSE,TRUE,FALSE,FALSE
R2M1,T5,Turbot,2,1,Skin,2025-11-13,MasterPure,16.72,1.68,0.58,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,16.72,FALSE,FALSE,FALSE,FALSE,FALSE
R2M3,T7,Turbot,2,3,Skin,2025-11-20,PowerFecal,11.2,1.62,0.3,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,11.2,FALSE,FALSE,FALSE,FALSE,FALSE
R2M4,T8,Turbot,2,4,Skin,2025-11-25,PowerSoil,1,-1.56,0,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE
R2M2,T6,Turbot,2,2,Skin,2025-12-01,PureLink,0.6,0.53,0.1,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,FALSE,FALSE,FALSE,FALSE,FALSE
R3M1,T9,Turbot,3,1,Skin,2025-11-13,MasterPure,23.02,1.72,0.844,3.67,Y,3.67,Measured,3.67,3.67,TRUE,TRUE,FALSE,FALSE,TRUE,23.02,FALSE,FALSE,FALSE,TRUE,TRUE
R3M3,T11,Turbot,3,3,Skin,2025-11-21,PowerFecal,46.6,1.55,0.27,Out of range,Y,Out of range,Out of range,NA,0,FALSE,TRUE,FALSE,FALSE,TRUE,46.6,FALSE,FALSE,FALSE,TRUE,FALSE
R3M4,T12,Turbot,3,4,Skin,2025-11-25,PowerSoil,1.4,2.83,0.01,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,FALSE,FALSE,FALSE,TRUE,FALSE
R3M2,T10,Turbot,3,2,Skin,2025-12-02,PureLink,6.1,1.73,0.49,0.46,N,0.46,Measured,0.46,0.46,TRUE,TRUE,FALSE,FALSE,FALSE,6.1,FALSE,FALSE,FALSE,TRUE,TRUE
R4M1,T13,Turbot,4,1,Skin,2025-11-13,MasterPure,18.89,1.61,0.664,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,18.89,FALSE,FALSE,FALSE,FALSE,FALSE
R4M3,T15,Turbot,4,3,Skin,2025-11-21,PowerFecal,19.28,1.56,0.52,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,19.28,FALSE,FALSE,FALSE,FALSE,FALSE
R4M4,T16,Turbot,4,4,Skin,2025-11-25,PowerSoil,2.1,21.21,0,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2.1,FALSE,FALSE,FALSE,FALSE,FALSE
R4M2,T14,Turbot,4,2,Skin,2025-12-02,PureLink,6.1,2.03,0.52,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,6.1,FALSE,FALSE,FALSE,FALSE,FALSE
R5M1,T17,Turbot,5,1,Skin,2025-11-13,MasterPure,20.156,1.54,0.625,4.32,Y,4.32,Measured,4.32,4.32,FALSE,TRUE,FALSE,FALSE,TRUE,20.156,FALSE,FALSE,FALSE,TRUE,TRUE
R5M3,T19,Turbot,5,3,Skin,2025-11-21,PowerFecal,9.29,1.58,0.2,0.18,N,0.18,Measured,0.18,0.18,FALSE,TRUE,FALSE,FALSE,FALSE,9.29,FALSE,FALSE,FALSE,TRUE,TRUE
R5M4,T20,Turbot,5,4,Skin,2025-11-25,PowerSoil,2.3,-5.01,0,0.115,N,0.115,Measured,0.115,0.115,FALSE,FALSE,FALSE,FALSE,FALSE,2.3,FALSE,TRUE,FALSE,TRUE,TRUE
R5M2,T18,Turbot,5,2,Skin,2025-12-02,PureLink,6.7,1.5,0.42,0.33,N,0.33,Measured,0.33,0.33,FALSE,TRUE,FALSE,FALSE,FALSE,6.7,FALSE,FALSE,FALSE,TRUE,TRUE
R1I1,T21,Turbot,1,1,Gut,2025-11-10,MasterPure,186.1,2.02,1.71,NA,Y,NA,Missing,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,186.1,FALSE,FALSE,FALSE,FALSE,FALSE
R1I3,T23,Turbot,1,3,Gut,2025-11-21,PowerFecal,1.79,1.08,0.18,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1.79,FALSE,FALSE,FALSE,FALSE,FALSE
R1I4,T24,Turbot,1,4,Gut,2025-11-24,PowerSoil,36.1,1.53,0.45,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,36.1,FALSE,FALSE,FALSE,FALSE,FALSE
R1I2,T22,Turbot,1,2,Gut,2025-12-02,PureLink,5.8,1.71,0.48,NA,N,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,5.8,FALSE,FALSE,FALSE,FALSE,FALSE
R2I1,T25,Turbot,2,1,Gut,2025-11-13,MasterPure,255.33,1.937,1.619,33.6,Y,33.6,Measured,33.6,33.6,TRUE,TRUE,TRUE,FALSE,TRUE,255.33,FALSE,FALSE,FALSE,TRUE,TRUE
R2I3,T27,Turbot,2,3,Gut,2025-11-21,PowerFecal,1.76,1.25,0.05,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.76,FALSE,FALSE,FALSE,TRUE,FALSE
R2I4,T28,Turbot,2,4,Gut,2025-11-24,PowerSoil,6.4,1.61,0.2,Out of range,Y,Out of range,Out of range,NA,0,FALSE,TRUE,FALSE,FALSE,TRUE,6.4,FALSE,FALSE,FALSE,TRUE,FALSE
R2I2,T26,Turbot,2,2,Gut,2025-12-02,PureLink,9.3,1.54,0.46,0.121,N,0.121,Measured,0.121,0.121,FALSE,TRUE,FALSE,FALSE,FALSE,9.3,FALSE,FALSE,FALSE,TRUE,TRUE
R3I1,T29,Turbot,3,1,Gut,2025-11-13,MasterPure,188.636,1.99,1.61,NA,Y,NA,Missing,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,188.636,FALSE,FALSE,FALSE,FALSE,FALSE
R3I3,T31,Turbot,3,3,Gut,2025-11-21,PowerFecal,-0.5,0.35,0,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE
R3I4,T32,Turbot,3,4,Gut,2025-11-24,PowerSoil,54.5,1.56,0.13,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,54.5,FALSE,FALSE,FALSE,FALSE,FALSE
R3I2,T30,Turbot,3,2,Gut,2025-12-02,PureLink,8.6,1.88,0.6,NA,N,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,8.6,FALSE,FALSE,FALSE,FALSE,FALSE
R4I1,T33,Turbot,4,1,Gut,2025-11-13,MasterPure,58.45,1.91,1.36,24.4,Y,24.4,Measured,24.4,24.4,TRUE,TRUE,FALSE,FALSE,TRUE,58.45,FALSE,FALSE,FALSE,TRUE,TRUE
R4I3,T35,Turbot,4,3,Gut,2025-11-21,PowerFecal,0.97,0.72,0.02,Out of range,N,Out of range,Out of range,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,FALSE,FALSE,FALSE,TRUE,FALSE
R4I4,T36,Turbot,4,4,Gut,2025-11-24,PowerSoil,15.9,1.53,0.43,5.0999999999999997E-2,Y,5.0999999999999997E-2,Measured,0.051,0.051,FALSE,TRUE,FALSE,FALSE,TRUE,15.9,FALSE,FALSE,FALSE,TRUE,TRUE
R4I2,T34,Turbot,4,2,Gut,2025-12-02,PureLink,8.2,1.85,0.58,0.28899999999999998,N,0.28899999999999998,Measured,0.289,0.289,TRUE,TRUE,FALSE,FALSE,FALSE,8.2,FALSE,FALSE,FALSE,TRUE,TRUE
R5I1,T37,Turbot,5,1,Gut,2025-11-13,MasterPure,301.281,2.002,1.767,NA,Y,NA,Missing,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,301.281,FALSE,FALSE,FALSE,FALSE,FALSE
R5I3,T39,Turbot,5,3,Gut,2025-11-21,PowerFecal,0.08,-2.08,0.01,NA,N,NA,Missing,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.08,FALSE,TRUE,FALSE,FALSE,FALSE
R5I4,T40,Turbot,5,4,Gut,2025-11-24,PowerSoil,49.2,1.51,0.47,NA,Y,NA,Missing,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,49.2,FALSE,FALSE,FALSE,FALSE,FALSE
R5I2,T38,Turbot,5,2,Gut,2025-12-02,PureLink,7.3,1.76,0.52,NA,N,NA,Missing,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,7.3,FALSE,FALSE,FALSE,FALSE,FALSE
