Species,Tissue,Individual,Kit,n_rows
Octopus,Skin,1,MasterPure,1
Octopus,Skin,1,PowerFecal,1
Octopus,Skin,1,PowerSoil,1
Octopus,Skin,1,PureLink,1
Octopus,Skin,2,MasterPure,1
Octopus,Skin,2,PowerFecal,1
Octopus,Skin,2,PowerSoil,1
Octopus,Skin,2,PureLink,1
Octopus,Skin,3,MasterPure,1
Octopus,Skin,3,PowerFecal,1
Octopus,Skin,3,PowerSoil,1
Octopus,Skin,3,PureLink,1
Octopus,Skin,4,MasterPure,1
Octopus,Skin,4,PowerFecal,1
Octopus,Skin,4,PowerSoil,1
Octopus,Skin,4,PureLink,1
Octopus,Skin,5,MasterPure,1
Octopus,Skin,5,PowerFecal,1
Octopus,Skin,5,PowerSoil,1
Octopus,Skin,5,PureLink,1
Octopus,Mantle,1,MasterPure,1
Octopus,Mantle,1,PowerFecal,1
Octopus,Mantle,1,PowerSoil,1
Octopus,Mantle,1,PureLink,1
Octopus,Mantle,2,MasterPure,1
Octopus,Mantle,2,PowerFecal,1
Octopus,Mantle,2,PowerSoil,1
Octopus,Mantle,2,PureLink,1
Octopus,Mantle,3,MasterPure,1
Octopus,Mantle,3,PowerFecal,1
Octopus,Mantle,3,PowerSoil,1
Octopus,Mantle,3,PureLink,1
Octopus,Mantle,4,MasterPure,1
Octopus,Mantle,4,PowerFecal,1
Octopus,Mantle,4,PowerSoil,1
Octopus,Mantle,4,PureLink,1
Octopus,Mantle,5,MasterPure,1
Octopus,Mantle,5,PowerFecal,1
Octopus,Mantle,5,PowerSoil,1
Octopus,Mantle,5,PureLink,1
Turbot,Skin,1,MasterPure,1
Turbot,Skin,1,PowerFecal,1
Turbot,Skin,1,PowerSoil,1
Turbot,Skin,1,PureLink,1
Turbot,Skin,2,MasterPure,1
Turbot,Skin,2,PowerFecal,1
Turbot,Skin,2,PowerSoil,1
Turbot,Skin,2,PureLink,1
Turbot,Skin,3,MasterPure,1
Turbot,Skin,3,PowerFecal,1
Turbot,Skin,3,PowerSoil,1
Turbot,Skin,3,PureLink,1
Turbot,Skin,4,MasterPure,1
Turbot,Skin,4,PowerFecal,1
Turbot,Skin,4,PowerSoil,1
Turbot,Skin,4,PureLink,1
Turbot,Skin,5,MasterPure,1
Turbot,Skin,5,PowerFecal,1
Turbot,Skin,5,PowerSoil,1
Turbot,Skin,5,PureLink,1
Turbot,Gut,1,MasterPure,1
Turbot,Gut,1,PowerFecal,1
Turbot,Gut,1,PowerSoil,1
Turbot,Gut,1,PureLink,1
Turbot,Gut,2,MasterPure,1
Turbot,Gut,2,PowerFecal,1
Turbot,Gut,2,PowerSoil,1
Turbot,Gut,2,PureLink,1
Turbot,Gut,3,MasterPure,1
Turbot,Gut,3,PowerFecal,1
Turbot,Gut,3,PowerSoil,1
Turbot,Gut,3,PureLink,1
Turbot,Gut,4,MasterPure,1
Turbot,Gut,4,PowerFecal,1
Turbot,Gut,4,PowerSoil,1
Turbot,Gut,4,PureLink,1
Turbot,Gut,5,MasterPure,1
Turbot,Gut,5,PowerFecal,1
Turbot,Gut,5,PowerSoil,1
Turbot,Gut,5,PureLink,1
