Kit,Species,Tissue,n_samples,nanodrop_mean,nanodrop_sd,nanodrop_median,nanodrop_min,nanodrop_max,ratio_260_280_mean,ratio_260_280_sd,ratio_260_280_median,ratio_260_230_mean,ratio_260_230_sd,ratio_260_230_median,qubit_n_measured,qubit_n_out_of_range,qubit_n_missing,qubit_mean,qubit_sd,qubit_median
MasterPure,Octopus,Skin,5,24.583199999999998,8.304150390015826,29.214,15.39,31.999,1.761,0.08613651954891144,1.785,0.7186,0.14046992560687147,0.689,2,0,3,15.969999999999999,20.124258992569143,15.969999999999999
PowerFecal,Octopus,Skin,5,2.7514,5.0833613682287035,3.094,-3.538,10.391,1.798,0.7018988531120421,1.54,0.0968,0.14523670335008296,0.045,1,4,0,0.429,NA,0.429
PowerSoil,Octopus,Skin,5,11.92,11.274174027395532,10.4,0.5,27.4,2.126,1.503073517829384,1.54,0.162,0.1652876280911551,0.15,1,1,3,0.068,NA,0.068
PureLink,Octopus,Skin,5,3.94,2.4673872821265816,5.6,1,6,1.1099999999999999,0.5543013620766234,0.96,0.294,0.18662797217994948,0.21,3,0,2,0.5786666666666667,0.319726966853491,0.746
MasterPure,Octopus,Mantle,5,199.054,135.97750358055558,169.98,71.49,431.1,1.814,0.08648699324175864,1.83,1.34,0.256124969497314,1.4,3,0,2,27.9,17.02967997350508,29.8
PowerFecal,Octopus,Mantle,5,118.42,73.36839919202272,140.4,28.4,199,1.66,0.1007472083980494,1.68,0.236,0.12401612798341996,0.23,2,0,3,23.755000000000003,26.792275939158287,23.755000000000003
PowerSoil,Octopus,Mantle,5,43.6,43.643842635588356,27.1,20.1,121.4,1.696,0.1807761046156266,1.61,0.316,0.1669730517179344,0.27,2,0,3,24.675,29.309576080182396,24.675
PureLink,Octopus,Mantle,5,4.82,3.0103155980727334,5.6,1.6,7.8,1.318,0.49625598233169943,1.59,0.532,0.2840246468178422,0.58,1,0,4,0.78,NA,0.78
MasterPure,Turbot,Skin,5,22.1372,5.914116941691295,20.156,16.72,31.9,1.672,0.10329569206893383,1.68,0.6866,0.1019303683894059,0.664,2,0,3,3.995,0.45961940777125615,3.995
PowerFecal,Turbot,Skin,5,21.014,14.973071829120437,18.7,9.29,46.6,1.58,0.02738612787525833,1.58,0.278,0.1556277610196844,0.27,1,1,3,0.18,NA,0.18
PowerSoil,Turbot,Skin,5,2.56,1.9932385707686875,2.1,1,6,3.8800000000000003,10.171769757520075,1.93,0.004,0.005477225575051661,0,1,1,3,0.115,NA,0.115
PureLink,Turbot,Skin,5,3.96,3.215276037916496,6.1,0.3,6.7,1.312,0.6385295607879089,1.5,0.27,0.30199337741083,0.42,2,0,3,0.395,0.09192388155425119,0.395
MasterPure,Turbot,Gut,5,197.95940000000002,91.7294699308788,188.636,58.45,301.281,1.9718,0.04635946505299644,1.99,1.6132,0.1558675719962301,1.619,2,0,3,29,6.5053823869162395,29
PowerFecal,Turbot,Gut,5,0.82,1.0169808257779496,0.97,-0.5,1.79,0.264,1.35533390719778,0.72,0.052,0.07395944834840237,0.02,0,2,3,NA,NA,NA
PowerSoil,Turbot,Gut,5,32.42,20.81218393153395,36.1,6.4,54.5,1.548,0.03898717737923589,1.53,0.336,0.15868207208125307,0.43,1,1,3,0.051,NA,0.051
PureLink,Turbot,Gut,5,7.84,1.3501851724856115,8.2,5.8,9.3,1.748,0.1347961423780369,1.76,0.528,0.06099180272790761,0.52,2,0,3,0.205,0.11879393923933998,0.205
